id	filename	md5	size	state
1ace2a0c-773d-45b5-8fd6-968c88731bbb	1ace2a0c-773d-45b5-8fd6-968c88731bbb/c33ecc28-d5ba-4416-b93d-445b7883b6e8.rna_seq.augmented_star_gene_counts.tsv	ff767304460d3385c372d7e0818cb45a	4239626	validated
2d5b0962-b5c4-4482-9f28-47e4dcdb6df6	2d5b0962-b5c4-4482-9f28-47e4dcdb6df6/602e3d24-a45d-4fe4-9b70-a679d93f470d.rna_seq.augmented_star_gene_counts.tsv	e55f74a99e6c797b03ecd3fdb43bc27a	4221019	validated
4ecc1f1a-8ff4-4552-a5e8-7a9652b6d1d5	4ecc1f1a-8ff4-4552-a5e8-7a9652b6d1d5/df45fb41-4511-4dab-b865-fcdfcda0400a.rna_seq.augmented_star_gene_counts.tsv	af51e54b9dc2f6aecd39ab26d2b79824	4238832	validated
4f54add3-c33d-4bc9-9e1f-c75f52d15f1e	4f54add3-c33d-4bc9-9e1f-c75f52d15f1e/2e4316d2-5fe5-4ee1-9b22-73f4c42b6202.rna_seq.augmented_star_gene_counts.tsv	49fe7f3c7f7fc86f310fe9cb0bcc7ab4	4255418	validated
50721c97-1a23-405b-b7b3-2955e4c62e5a	50721c97-1a23-405b-b7b3-2955e4c62e5a/00063026-2a67-41de-b105-f80dca277978.rna_seq.augmented_star_gene_counts.tsv	3fb7a3e813e43c3d1dfaecd082130385	4234333	validated
744a6d3d-b666-49aa-8d26-47f34e3d1eb5	744a6d3d-b666-49aa-8d26-47f34e3d1eb5/94027f46-390c-4dda-ab89-cb1ac0a291cd.rna_seq.augmented_star_gene_counts.tsv	4a91710ffccd29966a3374ffaf14abec	4231952	validated
84cff855-d17a-4c09-b432-53893ae69c1e	84cff855-d17a-4c09-b432-53893ae69c1e/03d891b3-8faf-4384-94ce-2015f1ca5df0.rna_seq.augmented_star_gene_counts.tsv	a047d3255bf04eed49d33a5f41787b6c	4217372	validated
c2515ef2-5cfc-4cc2-9541-ae072616d361	c2515ef2-5cfc-4cc2-9541-ae072616d361/f8ff90c6-3554-4e19-ae56-18f30f51f9b5.rna_seq.augmented_star_gene_counts.tsv	d61084c7ec83790624ec22b272b5b8e7	4242493	validated
e4f49b9c-faed-4f15-a79c-79664e2c03b6	e4f49b9c-faed-4f15-a79c-79664e2c03b6/61a614bb-2249-4611-8aac-1a8e53d4467b.rna_seq.augmented_star_gene_counts.tsv	614f4f9f5f3d9e908e4621cc254868d6	4243854	validated
f599be9a-0cac-4441-905c-5a6c87e7bc8c	f599be9a-0cac-4441-905c-5a6c87e7bc8c/741fb6d6-364f-47a0-a262-f18235c48fc4.rna_seq.augmented_star_gene_counts.tsv	12fb1d049bfd6de69583e29e50ff1686	4252896	validated
